5wir_C.pdb	5wir_C.pdb
3qj6_T.pdb	3qj6_T.pdb
3pkn_B.pdb	3pkn_B.pdb
6tjt_D.pdb	6tjt_D.pdb
5zgc_G.pdb	5zgc_G.pdb
3q6s_E.pdb	3q6s_E.pdb
4p0a_B.pdb	4p0a_B.pdb
5t6x_C.pdb	5t6x_C.pdb
5v4b_C.pdb	5v4b_C.pdb
6vme_C.pdb	6vme_C.pdb
5v6y_E.pdb	5v6y_E.pdb
6msb_W.pdb	6msb_W.pdb
6msb_W.pdb	5ezv_A.pdb
6msb_W.pdb	3rnm_A.pdb
6msb_W.pdb	1zy8_A.pdb
6msb_W.pdb	6l4o_A.pdb
6msb_W.pdb	4xr8_A.pdb
6msb_W.pdb	6i4y_A.pdb
6msb_W.pdb	7a8t_A.pdb
6msb_W.pdb	4ccm_A.pdb
6msb_W.pdb	3e0j_A.pdb
6msb_W.pdb	1fbv_A.pdb
6msb_W.pdb	4a4c_A.pdb
6msb_W.pdb	2y1n_A.pdb
6msb_W.pdb	3zni_A.pdb
6msb_W.pdb	2ovr_B.pdb
6msb_W.pdb	5v4b_B.pdb
6msb_W.pdb	3f8u_B.pdb
6msb_W.pdb	7k0k_B.pdb
6msb_W.pdb	7k0m_B.pdb
6msb_W.pdb	5zoo_G.pdb
6msb_W.pdb	6m90_A.pdb
6msb_W.pdb	1p22_A.pdb
6msb_W.pdb	6wnx_A.pdb
6msb_W.pdb	6icz_W.pdb
6msb_W.pdb	6yxq_B.pdb
6msb_W.pdb	4ouc_A.pdb
7cp9_C.pdb	7cp9_C.pdb
3au4_B.pdb	3au4_B.pdb
5xln_B.pdb	5xln_B.pdb
3bin_A.pdb	3bin_A.pdb
3bin_A.pdb	6zp4_M.pdb
3bin_A.pdb	4zri_A.pdb
3bin_A.pdb	6caj_I.pdb
3bin_A.pdb	6zp4_H.pdb
3bin_A.pdb	5awt_A.pdb
3bin_A.pdb	1ul1_A.pdb
3bin_A.pdb	5iy4_A.pdb
3bin_A.pdb	5mlo_A.pdb
3bin_A.pdb	5yco_A.pdb
3bin_A.pdb	6k3a_A.pdb
3bin_A.pdb	5e0u_A.pdb
3bin_A.pdb	1u76_A.pdb
3bin_A.pdb	3tbl_A.pdb
3bin_A.pdb	4cqm_B.pdb
3bin_A.pdb	4cqm_A.pdb
3bin_A.pdb	4qoz_B.pdb
3bin_A.pdb	2as5_M.pdb
3bin_A.pdb	1a02_N.pdb
3bin_A.pdb	3qrf_M.pdb
3bin_A.pdb	1pzl_A.pdb
3bin_A.pdb	3s97_A.pdb
3bin_A.pdb	5txk_A.pdb
3bin_A.pdb	6vcd_B.pdb
3bin_A.pdb	6id1_T.pdb
3bin_A.pdb	2nz8_B.pdb
5nng_B.pdb	5nng_B.pdb
5eof_C.pdb	5eof_C.pdb
5eof_C.pdb	5ep6_B.pdb
1h24_E.pdb	1h24_E.pdb
5n92_A.pdb	5n92_A.pdb
5n92_A.pdb	5n92_F.pdb
5n92_A.pdb	6b9x_B.pdb
5n92_A.pdb	5x6v_B.pdb
5n92_A.pdb	6ehr_B.pdb
5n92_A.pdb	4dbg_B.pdb
4is6_C.pdb	4is6_C.pdb
4gba_F.pdb	4gba_F.pdb
5ep6_A.pdb	5ep6_A.pdb
6p3w_E.pdb	6p3w_E.pdb
5gk9_B.pdb	5gk9_B.pdb
1p4u_B.pdb	1p4u_B.pdb
6z3l_B.pdb	6z3l_B.pdb
6z3l_B.pdb	6z3g_B.pdb
6z3l_B.pdb	4ui0_C.pdb
6z3l_B.pdb	1s1c_X.pdb
6m64_B.pdb	6m64_B.pdb
2yjd_C.pdb	2yjd_C.pdb
1a02_J.pdb	1a02_J.pdb
1a02_J.pdb	1t2k_C.pdb
1a02_J.pdb	5f5s_B.pdb
1a02_J.pdb	1t2k_D.pdb
1a02_J.pdb	4bry_A.pdb
1a02_J.pdb	5j03_A.pdb
1oc0_A.pdb	1oc0_A.pdb
1oc0_A.pdb	3pb1_I.pdb
1oc0_A.pdb	1ira_Y.pdb
1oc0_A.pdb	5k1c_C.pdb
1oc0_A.pdb	5vbn_A.pdb
1oc0_A.pdb	6msb_Y.pdb
1oc0_A.pdb	3tg5_A.pdb
1oc0_A.pdb	4o6f_A.pdb
1oc0_A.pdb	6urg_B.pdb
1oc0_A.pdb	3zyi_B.pdb
1oc0_A.pdb	6caj_E.pdb
1oc0_A.pdb	6zp4_E.pdb
1oc0_A.pdb	6epo_S.pdb
1oc0_A.pdb	6b3x_A.pdb
1oc0_A.pdb	7of6_C.pdb
1oc0_A.pdb	6caj_A.pdb
1oc0_A.pdb	6o60_C.pdb
1oc0_A.pdb	3tw8_A.pdb
1oc0_A.pdb	6ekk_A.pdb
3d24_B.pdb	3d24_B.pdb
2dyp_C.pdb	2dyp_C.pdb
3fqx_C.pdb	3fqx_C.pdb
3eu7_X.pdb	3eu7_X.pdb
7cna_B.pdb	7cna_B.pdb
3zni_B.pdb	3zni_B.pdb
3zni_B.pdb	2y1n_B.pdb
3dlq_I.pdb	3dlq_I.pdb
3dlq_I.pdb	3g9v_B.pdb
3dlq_I.pdb	2nut_C.pdb
3dlq_I.pdb	2xze_A.pdb
3dlq_I.pdb	4dx9_0.pdb
3dlq_I.pdb	3wtp_E.pdb
3dlq_I.pdb	5b0z_A.pdb
3dlq_I.pdb	5b32_A.pdb
3dlq_I.pdb	5x7x_A.pdb
3dlq_I.pdb	5gt0_A.pdb
3dlq_I.pdb	6x59_A.pdb
3dlq_I.pdb	5y0d_A.pdb
3dlq_I.pdb	7lyc_A.pdb
3dlq_I.pdb	6jou_A.pdb
3dlq_I.pdb	6k1k_A.pdb
3dlq_I.pdb	4z5t_A.pdb
3dlq_I.pdb	5gt3_A.pdb
3dlq_I.pdb	3a6n_A.pdb
3dlq_I.pdb	6kvd_A.pdb
3dlq_I.pdb	4hga_B.pdb
3dlq_I.pdb	3mdy_B.pdb
3dlq_I.pdb	1b6c_A.pdb
3dlq_I.pdb	6i1s_B.pdb
3dlq_I.pdb	6oqa_A.pdb
3dlq_I.pdb	3t6g_B.pdb
3dlq_I.pdb	2ff3_A.pdb
3dlq_I.pdb	6zbk_A.pdb
3dlq_I.pdb	7of0_W.pdb
3dlq_I.pdb	4j2j_A.pdb
3dlq_I.pdb	3esk_A.pdb
3dlq_I.pdb	3fwv_A.pdb
3dlq_I.pdb	2v8s_E.pdb
3dlq_I.pdb	4gxl_A.pdb
3dlq_I.pdb	5gmv_A.pdb
3dlq_I.pdb	3vvw_B.pdb
3dlq_I.pdb	5cx3_A.pdb
3dlq_I.pdb	5d94_A.pdb
3dlq_I.pdb	3n1q_A.pdb
3dlq_I.pdb	2wg3_A.pdb
3dlq_I.pdb	6qw6_S.pdb
3dlq_I.pdb	3uin_C.pdb
3dlq_I.pdb	2io2_C.pdb
3dlq_I.pdb	2iy0_C.pdb
6bix_C.pdb	6bix_C.pdb
5y6l_E.pdb	5y6l_E.pdb
6r2l_C.pdb	6r2l_C.pdb
2wqa_E.pdb	2wqa_E.pdb
2wqa_E.pdb	7ae1_N.pdb
2wqa_E.pdb	7of0_K.pdb
2wqa_E.pdb	3s5l_G.pdb
2wqa_E.pdb	4bkx_A.pdb
2wqa_E.pdb	6id1_W.pdb
2wqa_E.pdb	4dck_C.pdb
2wqa_E.pdb	2q9q_D.pdb
2wqa_E.pdb	2e9x_C.pdb
2wqa_E.pdb	6i42_A.pdb
2wqa_E.pdb	1m63_C.pdb
2wqa_E.pdb	1mzw_A.pdb
2wqa_E.pdb	1sq0_A.pdb
2wqa_E.pdb	5e1b_A.pdb
2wqa_E.pdb	3g9v_A.pdb
2wqa_E.pdb	6m64_A.pdb
2wqa_E.pdb	1dev_A.pdb
2wqa_E.pdb	5zoj_A.pdb
2wqa_E.pdb	5xoc_A.pdb
2wqa_E.pdb	1mk2_A.pdb
2wqa_E.pdb	1u7f_A.pdb
2wqa_E.pdb	1u7v_A.pdb
2wqa_E.pdb	5zok_A.pdb
2wqa_E.pdb	1iar_B.pdb
2wqa_E.pdb	5e4e_B.pdb
2wqa_E.pdb	3bpl_B.pdb
2wqa_E.pdb	1u7v_B.pdb
2wqa_E.pdb	1mr1_A.pdb
2wqa_E.pdb	1u7f_B.pdb
2wqa_E.pdb	5c4v_A.pdb
2wqa_E.pdb	2ngr_B.pdb
2wqa_E.pdb	6r3v_A.pdb
2wqa_E.pdb	3k1r_A.pdb
2wqa_E.pdb	1m4u_A.pdb
2wqa_E.pdb	5t5w_A.pdb
2wqa_E.pdb	3bn3_B.pdb
2wqa_E.pdb	4gs7_B.pdb
2wqa_E.pdb	5m5e_B.pdb
2wqa_E.pdb	5ni9_B.pdb
2wqa_E.pdb	6biy_B.pdb
2wqa_E.pdb	1fv1_B.pdb
2wqa_E.pdb	1klu_B.pdb
2wqa_E.pdb	6bix_B.pdb
2wqa_E.pdb	3s5l_B.pdb
2wqa_E.pdb	4is6_B.pdb
2wqa_E.pdb	4x5w_B.pdb
2wqa_E.pdb	1aqd_B.pdb
2wqa_E.pdb	4md4_B.pdb
2wqa_E.pdb	6nix_B.pdb
2wqa_E.pdb	6v1a_B.pdb
2wqa_E.pdb	4fqx_B.pdb
2wqa_E.pdb	6hby_B.pdb
2wqa_E.pdb	4y19_B.pdb
2wqa_E.pdb	4md5_B.pdb
2wqa_E.pdb	1bx2_B.pdb
2wqa_E.pdb	3l6f_B.pdb
2wqa_E.pdb	6biz_B.pdb
2wqa_E.pdb	1zgl_B.pdb
2wqa_E.pdb	4p4k_B.pdb
2wqa_E.pdb	5le5_G.pdb
2wqa_E.pdb	5le5_E.pdb
2wqa_E.pdb	6kwy_E.pdb
2wqa_E.pdb	6e5b_G.pdb
2wqa_E.pdb	6msb_G.pdb
2wqa_E.pdb	6kwy_G.pdb
2wqa_E.pdb	6msb_J.pdb
2wqa_E.pdb	5le5_C.pdb
2wqa_E.pdb	6kwy_C.pdb
2wqa_E.pdb	6e5b_C.pdb
2wqa_E.pdb	3pv6_A.pdb
2wqa_E.pdb	6h6a_D.pdb
2wqa_E.pdb	5l7k_A.pdb
2wqa_E.pdb	3rbq_A.pdb
2wqa_E.pdb	3w8h_A.pdb
2wqa_E.pdb	4geh_A.pdb
2wqa_E.pdb	7nvu_W.pdb
2wqa_E.pdb	1pvh_A.pdb
2wqa_E.pdb	1fg9_C.pdb
2wqa_E.pdb	5xqz_A.pdb
2wqa_E.pdb	5twh_A.pdb
2wqa_E.pdb	5df6_A.pdb
2wqa_E.pdb	2f8v_A.pdb
2wqa_E.pdb	3tgx_A.pdb
2wqa_E.pdb	5dqs_A.pdb
2wqa_E.pdb	5jpo_A.pdb
2wqa_E.pdb	3cqc_B.pdb
3fqt_C.pdb	3fqt_C.pdb
1vzj_A.pdb	1vzj_A.pdb
6urg_F.pdb	6urg_F.pdb
6tkk_B.pdb	6tkk_B.pdb
5luz_C.pdb	5luz_C.pdb
5mk0_B.pdb	5mk0_B.pdb
5mk0_B.pdb	5mjy_E.pdb
6wme_B.pdb	6wme_B.pdb
3h3g_B.pdb	3h3g_B.pdb
1i4f_C.pdb	1i4f_C.pdb
5ciu_C.pdb	5ciu_C.pdb
3shv_C.pdb	3shv_C.pdb
3ptg_J.pdb	3ptg_J.pdb
3ptg_J.pdb	3vum_F.pdb
3ptg_J.pdb	5yy9_C.pdb
3tiw_C.pdb	3tiw_C.pdb
6wcw_A.pdb	6wcw_A.pdb
6wcw_A.pdb	7jvp_R.pdb
6wcw_A.pdb	7jvq_R.pdb
6wcw_A.pdb	5jhw_C.pdb
6wcw_A.pdb	2b0u_C.pdb
6wcw_A.pdb	6h2v_A.pdb
6wcw_A.pdb	5ee5_A.pdb
6wcw_A.pdb	5vz4_B.pdb
6wcw_A.pdb	4dxs_A.pdb
6wcw_A.pdb	6wme_A.pdb
6wcw_A.pdb	6wmd_A.pdb
6wcw_A.pdb	4dxr_A.pdb
4cqo_B.pdb	4cqo_B.pdb
3ll8_E.pdb	3ll8_E.pdb
1l1o_A.pdb	1l1o_A.pdb
1l1o_A.pdb	2pi2_E.pdb
1l1o_A.pdb	2cv5_C.pdb
1l1o_A.pdb	6kvd_C.pdb
1l1o_A.pdb	6k1k_C.pdb
1l1o_A.pdb	5b31_C.pdb
1l1o_A.pdb	5gt0_C.pdb
1l1o_A.pdb	6x59_C.pdb
1l1o_A.pdb	7lyc_C.pdb
1l1o_A.pdb	6e0p_C.pdb
1l1o_A.pdb	3x1s_C.pdb
1l1o_A.pdb	5gt3_C.pdb
1l1o_A.pdb	5b0z_C.pdb
1l1o_A.pdb	3wkj_C.pdb
1l1o_A.pdb	5y0d_C.pdb
1l1o_A.pdb	2b3g_A.pdb
1l1o_A.pdb	5n8a_A.pdb
1l1o_A.pdb	4rhw_A.pdb
1l1o_A.pdb	7egg_I.pdb
1l1o_A.pdb	6f8f_D.pdb
1l1o_A.pdb	7lin_A.pdb
1l1o_A.pdb	4kng_M.pdb
1l1o_A.pdb	1l1o_B.pdb
1l1o_A.pdb	2pi2_A.pdb
1l1o_A.pdb	7of0_R.pdb
1l1o_A.pdb	2rex_A.pdb
1l1o_A.pdb	3q3j_A.pdb
1l1o_A.pdb	6zxg_j.pdb
1l1o_A.pdb	5zok_B.pdb
1l1o_A.pdb	5zoj_D.pdb
1l1o_A.pdb	6tqu_A.pdb
1l1o_A.pdb	6tqs_A.pdb
1l1o_A.pdb	6h2v_B.pdb
1l1o_A.pdb	6khs_B.pdb
1l1o_A.pdb	1z8u_A.pdb
1l1o_A.pdb	1i8l_C.pdb
7of0_0.pdb	7of0_0.pdb
7of0_0.pdb	1b8m_B.pdb
7of0_0.pdb	1hcf_A.pdb
5epp_B.pdb	5epp_B.pdb
5kiy_B.pdb	5kiy_B.pdb
4ftg_E.pdb	4ftg_E.pdb
2ypa_D.pdb	2ypa_D.pdb
4ewr_C.pdb	4ewr_C.pdb
6s9k_B.pdb	6s9k_B.pdb
5ljn_C.pdb	5ljn_C.pdb
5ioh_B.pdb	5ioh_B.pdb
5ioh_B.pdb	5j28_C.pdb
5ioh_B.pdb	5inb_B.pdb
3a4u_B.pdb	3a4u_B.pdb
4cay_C.pdb	4cay_C.pdb
1cf7_B.pdb	1cf7_B.pdb
1cf7_B.pdb	2ypa_A.pdb
1cf7_B.pdb	3kfd_I.pdb
1cf7_B.pdb	2pjy_C.pdb
1cf7_B.pdb	6mac_K.pdb
4erq_D.pdb	4erq_D.pdb
4erq_D.pdb	4ery_D.pdb
4yii_A.pdb	4yii_A.pdb
4yii_A.pdb	6nxk_C.pdb
4yii_A.pdb	3s2k_C.pdb
4yii_A.pdb	4fjv_B.pdb
4yii_A.pdb	3ugb_B.pdb
4yii_A.pdb	7lyc_K.pdb
4yii_A.pdb	6tuv_D.pdb
4yii_A.pdb	3v6c_B.pdb
4yii_A.pdb	6nj9_L.pdb
4yii_A.pdb	2g45_B.pdb
4yii_A.pdb	6t7f_C.pdb
4yii_A.pdb	5j26_B.pdb
4yii_A.pdb	6kg6_C.pdb
4yii_A.pdb	4v3l_B.pdb
4yii_A.pdb	4uel_B.pdb
4yii_A.pdb	6cp2_C.pdb
4yii_A.pdb	6sqo_C.pdb
4yii_A.pdb	5hpt_B.pdb
4yii_A.pdb	3tmp_B.pdb
4yii_A.pdb	6msb_u.pdb
4yii_A.pdb	4mdk_E.pdb
4yii_A.pdb	6isu_B.pdb
4yii_A.pdb	5jg6_B.pdb
4yii_A.pdb	5l8w_C.pdb
4yii_A.pdb	5hps_B.pdb
4yii_A.pdb	6fx4_B.pdb
4yii_A.pdb	3zni_D.pdb
4yii_A.pdb	5ulf_B.pdb
4yii_A.pdb	6asr_A.pdb
4yii_A.pdb	6qml_C.pdb
4yii_A.pdb	6fge_C.pdb
4yii_A.pdb	6qml_B.pdb
4yii_A.pdb	5wvo_A.pdb
4yii_A.pdb	6pgv_B.pdb
4yii_A.pdb	1nbf_C.pdb
4yii_A.pdb	3nhe_B.pdb
4yii_A.pdb	2hth_A.pdb
4yii_A.pdb	3k9o_B.pdb
4yii_A.pdb	3n3k_B.pdb
4yii_A.pdb	5l8h_B.pdb
4yii_A.pdb	3ifw_B.pdb
4yii_A.pdb	1s1q_B.pdb
4yii_A.pdb	4jqw_C.pdb
4yii_A.pdb	5hpk_B.pdb
4yii_A.pdb	5ydr_A.pdb
4yii_A.pdb	6nxk_A.pdb
4yii_A.pdb	5dfl_B.pdb
4yii_A.pdb	5n38_B.pdb
4yii_A.pdb	4xkl_A.pdb
4yii_A.pdb	5yt6_A.pdb
4yii_A.pdb	5ifr_B.pdb
4yii_A.pdb	5kyc_C.pdb
4yii_A.pdb	6ulh_E.pdb
4yii_A.pdb	4auq_C.pdb
4yii_A.pdb	6fyh_B.pdb
4yii_A.pdb	3o65_B.pdb
4yii_A.pdb	5ibk_C.pdb
4yii_A.pdb	5txk_B.pdb
4yii_A.pdb	7m3q_B.pdb
4yii_A.pdb	5lrx_B.pdb
4yii_A.pdb	4ap4_C.pdb
4yii_A.pdb	3tbl_D.pdb
4yii_A.pdb	6dgf_B.pdb
4yii_A.pdb	3gzn_I.pdb
4yii_A.pdb	3dqv_A.pdb
4yii_A.pdb	2nvu_I.pdb
4yii_A.pdb	4fxw_B.pdb
1r2b_C.pdb	1r2b_C.pdb
6p9x_P.pdb	6p9x_P.pdb
6p9x_P.pdb	6pb0_U.pdb
1fyr_I.pdb	1fyr_I.pdb
7bbl_B.pdb	7bbl_B.pdb
6tqu_C.pdb	6tqu_C.pdb
6v1a_C.pdb	6v1a_C.pdb
4y99_B.pdb	4y99_B.pdb
2b3g_B.pdb	2b3g_B.pdb
1l0a_B.pdb	1l0a_B.pdb
7of0_m.pdb	7of0_m.pdb
5gpg_B.pdb	5gpg_B.pdb
5gpg_B.pdb	1oey_J.pdb
5gpg_B.pdb	5c4v_B.pdb
5gpg_B.pdb	4dri_B.pdb
5gpg_B.pdb	4drj_B.pdb
4hrh_C.pdb	4hrh_C.pdb
4hrh_C.pdb	4hre_G.pdb
5gp7_B.pdb	5gp7_B.pdb
4n3a_B.pdb	4n3a_B.pdb
4bwq_B.pdb	4bwq_B.pdb
6y3o_P.pdb	6y3o_P.pdb
4jeg_A.pdb	4jeg_A.pdb
4jeg_A.pdb	4qsy_A.pdb
4jeg_A.pdb	7of0_L.pdb
4jeg_A.pdb	6vmi_L.pdb
4jeg_A.pdb	7o9m_L.pdb
4jeg_A.pdb	7jhp_C.pdb
4jeg_A.pdb	6xgv_B.pdb
4jeg_A.pdb	2d5r_B.pdb
4jeg_A.pdb	6zbk_B.pdb
4jeg_A.pdb	5dc9_A.pdb
4jeg_A.pdb	6pxc_A.pdb
4jeg_A.pdb	7ae1_D.pdb
4jeg_A.pdb	4y99_C.pdb
4jeg_A.pdb	4ic7_B.pdb
4jeg_A.pdb	5vbn_B.pdb
3ktr_A.pdb	3ktr_A.pdb
3ktr_A.pdb	3pkn_A.pdb
3ktr_A.pdb	3pth_A.pdb
3ktr_A.pdb	3kut_A.pdb
3ktr_A.pdb	3kuj_A.pdb
3ktr_A.pdb	3ktp_A.pdb
6ylu_B.pdb	6ylu_B.pdb
4hon_F.pdb	4hon_F.pdb
5dqs_D.pdb	5dqs_D.pdb
5dqs_D.pdb	6kbb_A.pdb
5dqs_D.pdb	4drb_C.pdb
3rbq_G.pdb	3rbq_G.pdb
4j2j_D.pdb	4j2j_D.pdb
6ejl_C.pdb	6ejl_C.pdb
6gwj_B.pdb	6gwj_B.pdb
6gwj_B.pdb	2f8v_T.pdb
4d0g_C.pdb	4d0g_C.pdb
4d0g_C.pdb	3tso_C.pdb
6zr5_C.pdb	6zr5_C.pdb
3d9u_B.pdb	3d9u_B.pdb
1u76_B.pdb	1u76_B.pdb
6c6k_C.pdb	6c6k_C.pdb
2a1j_A.pdb	2a1j_A.pdb
2a1j_A.pdb	7of0_8.pdb
3f6k_A.pdb	3f6k_A.pdb
3f6k_A.pdb	3efo_B.pdb
3f6k_A.pdb	3eg9_B.pdb
3f6k_A.pdb	6d1u_A.pdb
3f6k_A.pdb	5v6y_A.pdb
3f6k_A.pdb	3h3g_A.pdb
3f6k_A.pdb	3c4m_A.pdb
3f6k_A.pdb	4egc_A.pdb
3f6k_A.pdb	1de4_C.pdb
3f6k_A.pdb	1n52_A.pdb
3f6k_A.pdb	4n3a_A.pdb
3f6k_A.pdb	5vif_A.pdb
3f6k_A.pdb	5bnw_A.pdb
3f6k_A.pdb	7ceb_A.pdb
3f6k_A.pdb	4g8a_A.pdb
3f6k_A.pdb	7nvv_7.pdb
3f6k_A.pdb	4hsu_A.pdb
3f6k_A.pdb	4gus_A.pdb
3f6k_A.pdb	5lv0_A.pdb
3f6k_A.pdb	5luz_A.pdb
3f6k_A.pdb	6zp4_A.pdb
3f6k_A.pdb	2wjv_A.pdb
3f6k_A.pdb	6zp4_C.pdb
3f6k_A.pdb	6ue7_C.pdb
3f6k_A.pdb	6uri_B.pdb
3f6k_A.pdb	6msb_V.pdb
3f6k_A.pdb	5f0j_A.pdb
3f6k_A.pdb	2o61_A.pdb
3f6k_A.pdb	4cgy_A.pdb
4bry_B.pdb	4bry_B.pdb
4bry_B.pdb	6lth_R.pdb
2iv9_P.pdb	2iv9_P.pdb
5wb7_E.pdb	5wb7_E.pdb
5wb7_E.pdb	1mox_C.pdb
5wb7_E.pdb	1nql_B.pdb
1ira_X.pdb	1ira_X.pdb
1ira_X.pdb	4quu_A.pdb
1ira_X.pdb	4or9_B.pdb
1ira_X.pdb	1m63_B.pdb
1ira_X.pdb	5sve_B.pdb
1ira_X.pdb	4onl_A.pdb
1ira_X.pdb	5bnx_D.pdb
1ira_X.pdb	2i32_A.pdb
1ira_X.pdb	5bo0_D.pdb
1ira_X.pdb	6zp4_o.pdb
1ira_X.pdb	6zxg_P.pdb
1ira_X.pdb	7of0_Y.pdb
1ira_X.pdb	6id1_S.pdb
1ira_X.pdb	7dvq_z.pdb
1ira_X.pdb	6i4y_B.pdb
1ira_X.pdb	7egg_H.pdb
1ira_X.pdb	1jfi_B.pdb
1ira_X.pdb	3fn1_B.pdb
1ira_X.pdb	1e96_B.pdb
1ira_X.pdb	6df3_C.pdb
1ira_X.pdb	5ulf_A.pdb
1ira_X.pdb	3ugb_A.pdb
1ira_X.pdb	4v3l_A.pdb
1ira_X.pdb	6w7z_A.pdb
1ira_X.pdb	6t7f_B.pdb
1ira_X.pdb	6hpr_C.pdb
1ira_X.pdb	6sqo_B.pdb
1ira_X.pdb	4a4c_C.pdb
1ira_X.pdb	3zni_C.pdb
1ira_X.pdb	6fga_I.pdb
1ira_X.pdb	5fer_B.pdb
1ira_X.pdb	5d1m_A.pdb
1ira_X.pdb	4s3o_A.pdb
1ira_X.pdb	5ifr_A.pdb
1ira_X.pdb	4auq_A.pdb
1ira_X.pdb	4ap4_B.pdb
1ira_X.pdb	2yho_B.pdb
1ira_X.pdb	3tfy_A.pdb
1ira_X.pdb	4f02_A.pdb
1ira_X.pdb	2a25_A.pdb
1ira_X.pdb	5bqe_C.pdb
1ira_X.pdb	1n52_B.pdb
1ira_X.pdb	5f0p_C.pdb
1ira_X.pdb	5f0j_C.pdb
1ira_X.pdb	7dvq_Y.pdb
1ira_X.pdb	3gxu_A.pdb
1ira_X.pdb	1lqv_A.pdb
1ira_X.pdb	4xoi_B.pdb
5hyn_E.pdb	5hyn_E.pdb
4iza_B.pdb	4iza_B.pdb
4iza_B.pdb	4eoz_A.pdb
2dsq_A.pdb	2dsq_A.pdb
1obz_P.pdb	1obz_P.pdb
1lb5_B.pdb	1lb5_B.pdb
4nf9_C.pdb	4nf9_C.pdb
6k81_B.pdb	6k81_B.pdb
6k81_B.pdb	6j4s_B.pdb
7c41_D.pdb	7c41_D.pdb
2c0l_B.pdb	2c0l_B.pdb
2c0l_B.pdb	5y1z_A.pdb
2c0l_B.pdb	5hyn_C.pdb
2c0l_B.pdb	4w2r_S.pdb
2c0l_B.pdb	7b1f_A.pdb
6pyw_C.pdb	6pyw_C.pdb
6akl_C.pdb	6akl_C.pdb
1mfg_B.pdb	1mfg_B.pdb
2ast_D.pdb	2ast_D.pdb
4b18_B.pdb	4b18_B.pdb
2w83_C.pdb	2w83_C.pdb
4pyu_C.pdb	4pyu_C.pdb
7cp9_G.pdb	7cp9_G.pdb
7cp9_G.pdb	6fbk_A.pdb
7cp9_G.pdb	1cxz_B.pdb
6hay_A.pdb	6hay_A.pdb
6hay_A.pdb	6ehp_A.pdb
6hay_A.pdb	6b9x_C.pdb
6hay_A.pdb	6ehr_A.pdb
6hay_A.pdb	3kfq_C.pdb
6hay_A.pdb	3kse_D.pdb
